Square Footage,Bedrooms,Location,Age of House,Price Category
1500,3,Urban,5,mid-range
2000,4,Suburban,10,expensive
1200,2,Urban,2,cheap
1800,3,Suburban,15,mid-range
2200,4,Urban,20,expensive
1400,3,Rural,25,cheap
1600,3,Suburban,8,mid-range
1300,2,Urban,12,cheap
2400,5,Suburban,5,expensive
1700,3,Rural,30,mid-range
1550,3,Urban,3,mid-range
1900,4,Suburban,7,expensive
1250,2,Urban,15,cheap
2100,4,Suburban,12,expensive
1800,3,Urban,20,mid-range
1400,2,Rural,10,cheap
2300,5,Suburban,5,expensive
1600,3,Urban,8,mid-range
1500,3,Suburban,15,mid-range
1750,3,Urban,12,mid-range
1300,2,Rural,25,cheap
2000,4,Suburban,10,expensive
1450,3,Urban,5,mid-range
1700,3,Suburban,18,mid-range
1900,4,Urban,7,expensive
1250,2,Rural,30,cheap
2400,5,Suburban,3,expensive
1600,3,Urban,12,mid-range
1500,3,Suburban,10,mid-range
1800,4,Urban,8,mid-range
1400,2,Rural,15,cheap
2100,4,Suburban,5,expensive
1550,3,Urban,10,mid-range
1750,3,Suburban,20,mid-range
1250,2,Rural,8,cheap
2000,4,Urban,12,expensive
1600,3,Suburban,15,mid-range
1450,3,Urban,7,mid-range
1900,4,Suburban,10,expensive
1300,2,Rural,20,cheap
2200,5,Urban,5,expensive
1500,3,Suburban,12,mid-range
1800,4,Urban,8,mid-range
1400,2,Rural,18,cheap
2000,4,Suburban,7,expensive
1550,3,Urban,10,mid-range
1700,3,Suburban,15,mid-range
1250,2,Rural,25,cheap
2400,5,Urban,3,expensive
1600,3,Suburban,12,mid-range
1500,3,Urban,10,mid-range
1750,4,Suburban,8,mid-range
1300,2,Rural,15,cheap
2100,4,Urban,5,expensive
1550,3,Suburban,10,mid-range
1800,4,Urban,12,mid-range
1400,2,Rural,20,cheap
2200,5,Suburban,7,expensive
1500,3,Urban,15,mid-range
1900,4,Suburban,10,expensive
1250,2,Rural,25,cheap
2000,4,Urban,8,expensive
1600,3,Suburban,12,mid-range
1450,3,Urban,5,mid-range
1800,4,Suburban,7,mid-range
1300,2,Rural,15,cheap
2100,4,Urban,12,expensive
1550,3,Suburban,8,mid-range
1750,3,Urban,15,mid-range
1250,2,Rural,20,cheap
2000,4,Suburban,5,expensive
1600,3,Urban,10,mid-range
1450,3,Suburban,12,mid-range
1900,4,Urban,7,expensive
1300,2,Rural,25,cheap
2200,5,Suburban,5,expensive
1500,3,Urban,12,mid-range
1800,4,Suburban,8,mid-range
1400,2,Rural,15,cheap
2000,4,Urban,10,expensive
1550,3,Suburban,5,mid-range
1700,3,Urban,15,mid-range
1250,2,Rural,20,cheap
2400,5,Suburban,3,expensive
1600,3,Urban,12,mid-range
1500,3,Suburban,10,mid-range
1750,4,Urban,8,mid-range
1300,2,Rural,15,cheap
2100,4,Suburban,5,expensive
